id,title,author,pages,year,genre_inferred,genre,status,notes
b0070,"Dig Two Graves (Solomon Gray, #1)",Keith Nixon,216,2018,other,,active,
b0071,"Among The Shadows (Detective Byron, #1)",Bruce Robert Coffin,400,2016,crime_mystery,,active,
b0072,"A Long Time Dead (The Dead Trilogy, #1)",Andrew Barrett,404,2013,sci_fi,,active,
b0073,秦謎：秦始皇的祕密,李開元,400,2010,other,,active,
b0074,Chronic: The Hidden Cause of the Autoimmune Pandemic--and How to Get Healthy Again,Steven Phillips,288,2021,sci_fi,,active,
b0075,Daughter of Fortune,Isabel Allende,432,2006,other,,active,
b0076,Breaking Free,Rachel Jeffs,400,2017,other,,active,
b0077,Every Man a Hero,Ray Lambert,297,2019,other,,active,
b0078,The Hacking of the American Mind: The Science Behind the Corporate Takeover of Our Bodies and Brains,Robert H. Lustig,352,2017,sci_fi,,active,
b0079,Every Man Dies Alone,Hans Fallada,592,2024,other,,active,
b0080,"Broken Dolls (Jefferson Winter, #1)",James Carol,382,2014,other,,active,
b0081,"Open Season (Joe Pickett, #1)",C.J. Box,278,2001,other,,active,
b0082,"The Monkey's Raincoat (Elvis Cole, #1)",Robert Crais,237,1999,sci_fi,,active,
b0083,"L.A. Requiem (Elvis Cole, #8)",Robert Crais,539,2002,sci_fi,,active,
b0084,Permutation City,Greg Egan,352,1995,other,,active,
b0085,"Sandstorm (Sigma Force, #1)",James Rollins,446,2004,other,,active,
b0086,Incubation (Green Fields #1),Adrienne Lecter,314,2015,other,,active,
b0087,"Desert Heat (Joanna Brady, #1)",J.A. Jance,246,1993,other,,active,
b0088,3秒搞定！圖解職場心理學：克服社交弱點、看穿對方心思、贏得場面優勢的120則心理技巧,內藤誼人,304,2023,other,,active,
b0089,The Orphan Collector,Ellen Marie Wiseman,390,2020,other,,active,
b0090,Elder Race,Adrian Tchaikovsky,199,2021,sci_fi,,active,
b0091,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,608,2015,sci_fi,,active,
b0092,Anathem,Neal Stephenson,1010,2008,other,,active,
b0093,"Strangers in the Land: Exclusion, Belonging, and the Epic Story of the Chinese in America",Michael Luo,560,2025,other,,active,
b0094,American Gunner,Eddy Clark,296,2023,other,,active,
b0095,The Obesity Code: Unlocking the Secrets of Weight Loss,Jason Fung,315,2016,other,,active,
b0096,Becoming Earth: A Journey Through the Hidden Wonders that Bring Our Planet to Life,Ferris Jabr,320,2025,other,,active,
b0097,The Secret History,Donna Tartt,629,1993,nonfiction,,active,
b0098,After: A Doctor Explores What Near-Death Experiences Reveal about Life and Beyond,Bruce  Greyson,272,2021,other,,active,
b0099,Seesaw Monster,Kōtarō Isaka,352,2025,other,,active,
b0100,"Sacred Clowns (Leaphorn & Chee, #11)",Tony Hillerman,384,2009,other,,active,
b0101,The Quiet Game (Penn Cage #1),Greg Iles,580,2000,other,,active,
b0102,抗炎生活,(日)池谷敏郎,0,2022,other,,active,
b0103,Imaginary Friend,Stephen Chbosky,705,2019,other,,active,
b0104,"The Mind-Gut Connection: How the Astonishing Dialogue Taking Place in Our Bodies Impacts Health, Weight, and Mood",Emeran Mayer,256,2016,other,,active,
b0105,Extinction (Cash & Colcord #1),Douglas Preston,370,2024,other,,active,
b0106,The Hopkins Manuscript,R.C. Sherriff,385,2023,other,,active,
b0107,Mal Goes to War,Edward Ashton,304,2024,other,,active,
b0108,"Deep Freeze (The Revival Series, #1)",Michael C. Grumley,336,2024,other,,active,
b0109,My Friend Anne Frank: The Inspiring and Heartbreaking True Story of Best Friends Torn Apart and Reunited Against All Odds,Hannah Pick-Goslar,320,2023,sci_fi,,active,
b0110,Happy-Go-Lucky,David Sedaris,272,2022,other,,active,
b0111,Drama Free: A Guide to Managing Unhealthy Family Relationships,Nedra Glover Tawwab,288,2023,other,,active,
b0112,"Unthinkable: Trauma, Truth, and the Trials of American Democracy",Jamie Raskin,428,2022,other,,active,
b0113,The Climate Book: The Facts and the Solutions,Greta Thunberg,464,2023,other,,active,
b0114,"You Owe You: Ignite Your Power, Your Purpose, and Your Why",Eric    Thomas,288,2022,other,,active,
b0115,On the Origin of Time: Stephen Hawking's Final Theory,Thomas Hertog,352,2023,sci_fi,,active,
b0116,The Right Call: What Sports Teach Us About Work and Life,Sally Jenkins,272,2023,other,,active,
b0117,Outliers: The Story of Success,Malcolm Gladwell,309,2008,other,,active,
b0118,Discipline Is Destiny: The Power of Self-Control,Ryan Holiday,312,2022,other,,active,
b0119,Nowhere for Very Long,Brianna Madia,258,2022,other,,active,
b0120,Cobalt Red: How the Blood of the Congo Powers Our Lives,Siddharth Kara,288,2023,other,,active,
b0121,The Road,Cormac McCarthy,324,2007,other,,active,
b0122,"My Sister's Grave (Tracy Crosswhite, #1)",Robert Dugoni,410,2014,other,,active,
b0123,"Running Deep: Bravery, Survival, and the True Story of the Deadliest Submarine in World War II",Tom Clavin,352,2025,other,,active,
b0124,Penelope's Bones: A New History of Homer’s World through the Women Written Out of It,Emily Hauser,373,2025,nonfiction,,active,
b0125,Portalmania: Stories,Debbie Urbanski,320,2025,other,,active,
b0126,The Afterlife Project,Tim Weed,272,2025,other,,active,
b0127,The Stand,Stephen  King,1348,2008,other,,active,
b0128,The Lathe of Heaven,Ursula K. Le Guin,176,2003,other,,active,
b0129,The Wind’s Twelve Quarters,Ursula K. Le Guin,303,2004,other,,active,
b0130,"The Word for World is Forest (Hainish Cycle, #5)",Ursula K. Le Guin,189,2010,sci_fi,,active,
b0131,Life on Mars: Poems,Tracy K. Smith,75,2011,sci_fi,,active,
b0132,The Devil You Know: Stories of Human Cruelty and Compassion,Gwen Adshead,320,2021,other,,active,
b0133,The End of Bias: A Beginning,Jessica Nordell,320,2021,other,,active,
b0134,Profit and Punishment: How America Criminalizes the Poor in the Name of Justice,Tony  Messenger,272,2021,other,,active,
b0135,The Lost: A Search for Six of Six Million,Daniel Mendelsohn,512,2006,other,,active,
b0136,A Day in the Life of Abed Salama: Anatomy of a Jerusalem Tragedy,Nathan Thrall,272,2023,other,,active,
b0137,All the Frequent Troubles of Our Days: The True Story of the American Woman at the Heart of the German Resistance to Hitler,Rebecca Donner,576,2021,other,,active,
b0138,Finding Manana: A Memoir of a Cuban Exodus,Mirta  Ojito,320,2006,nonfiction,,active,
b0139,"The Hitler Years: Disaster, 1940-1945",Frank McDonough,656,2021,other,,active,
b0140,Crazy Like Us: The Globalization of the American Psyche,Ethan Watters,320,2010,other,,active,
b0141,The Little Book of Aliens,Adam Frank,272,2023,sci_fi,,active,
b0142,Aliens: Bishop,T.R. Napper,496,2023,sci_fi,,active,
b0143,Brave New World,Aldous Huxley,288,2006,other,,active,
b0144,Intelligence is not Artificial: Why the Singularity is not Coming any Time Soon And Other Meditations on the Post-Human Condition and the Future of Intelligence,Piero Scaruffi,310,2014,sci_fi,,active,
b0145,You're the Leader. Now What?: Leadership Lessons from Mayo Clinic,Richard Winters,252,2022,other,,active,
b0146,Fahrenheit 451,Ray Bradbury,194,2011,other,,active,
b0147,The Emperor of Gladness,Ocean Vuong,416,2025,other,,active,
b0148,鬼吹灯之怒晴湘西,天下霸唱,326,2016,other,,active,
b0149,Whirligig (Detective Corstorphine #1),Andrew James Greig,320,2020,crime_mystery,,active,
b0150,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,464,2016,sci_fi,,active,
b0151,The Life We Chose: William “Big Billy” D’Elia and the Last Secrets of America’s Most Powerful Mafia Family,Matt Birkbeck,272,2023,other,,active,
b0152,In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,273,2015,other,,active,
b0153,How the Word Is Passed: A Reckoning with the History of Slavery Across America,Clint   Smith,336,2021,nonfiction,,active,
b0154,"The Last Slave Ship: The True Story of How Clotilda Was Found, Her Descendants, and an Extraordinary Reckoning",Ben Raines,304,2022,sci_fi,,active,
b0155,The Witches Are Coming,Lindy West,260,2019,other,,active,
b0156,Don't Call Us Dead,Danez Smith,88,2017,other,,active,
b0157,"Walkable City: How Downtown Can Save America, One Step at a Time",Jeff Speck,312,2012,sci_fi,,active,
b0158,"The Language of the Night: Essays on Writing, Science Fiction, and Fantasy",Ursula K. Le Guin,304,2024,nonfiction,,active,
b0159,The Beauty Myth,Naomi Wolf,368,2002,other,,active,
b0160,Black Like Me,John Howard Griffin,208,2003,other,,active,
b0161,The Glass Castle,Jeannette Walls,288,2006,other,,active,
b0162,"Revenge of the Tipping Point: Overstories, Superspreaders, and the Rise of Social Engineering",Malcolm Gladwell,352,2024,other,,active,
b0163,"Just So: Money, Materialism, and the Ineffable, Intelligent Universe",Alan W. Watts,216,2020,other,,active,
b0164,"The Hospital: Life, Death, and Dollars in a Small American Town",Brian  Alexander,320,2021,other,,active,
b0165,No Bad Parts: Healing Trauma and Restoring Wholeness with the Internal Family Systems Model,Richard C. Schwartz,216,2021,other,,active,
b0166,Living in the Daze of Deception: How to Discern Truth from Culture's Lies,Jack Hibbs,221,2024,other,,active,
b0167,Twelve Tribes: Promise and Peril in the New Israel,Ethan Michaeli,464,2021,other,,active,
b0168,"Everyone Who Is Gone Is Here: The United States, Central America, and the Making of a Crisis",Jonathan Blitzer,544,2024,other,,active,
b0169,On Palestine,Noam Chomsky,220,2015,other,,active,
b0170,They Knew: How a Culture of Conspiracy Keeps America Complacent,Sarah Kendzior,256,2022,other,,active,
b0171,They Thought They Were Free: The Germans 1933-45,Milton Sanford Mayer,346,1966,other,,active,
b0172,The Poet X,Elizabeth Acevedo,368,2018,other,,active,
b0173,"How the South Won the Civil War: Oligarchy, Democracy, and the Continuing Fight for the Soul of America",Heather Cox Richardson,272,2020,other,,active,
b0174,The Lost City of the Monkey God,Douglas Preston,326,2017,other,,active,
b0175,How Europe Underdeveloped Africa,Walter Rodney,312,1981,other,,active,
b0176,"Hide and Seek (Criminal Profiler, #4)",Mary Burton,344,2019,other,,active,
b0177,"Killer, Come Back To Me: The Crime Stories of Ray Bradbury",Ray Bradbury,330,2020,crime_mystery,,active,
b0178,Slaughterhouse-Five,Kurt Vonnegut Jr.,275,1999,other,,active,
b0179,"Whose Body?  (Lord Peter Wimsey, #1)",Dorothy L. Sayers,224,1995,other,,active,
b0180,Broken Lives: How Ordinary Germans Experienced the 20th Century,Konrad H. Jarausch,464,2018,other,,active,
b0181,The Damnation Game,Clive Barker,476,2021,other,,active,
b0182,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,297,2000,sci_fi,,active,
b0183,Strange Pictures,Uketsu,236,2025,other,,active,
b0184,"Final Jeopardy (Alexandra Cooper, #1)",Linda Fairstein,336,1997,sci_fi,,active,
b0185,Thr3e,Ted Dekker,423,2006,other,,active,
b0186,Big Little Lies,Liane Moriarty,460,2017,other,,active,
b0187,A Promised Land,Barack Obama,768,2020,other,,active,
b0188,The Book of Doors,Gareth  Brown,404,2024,other,,active,
b0189,Pathogenesis: A History of the World in Eight Plagues,Jonathan     Kennedy,304,2023,nonfiction,,active,
b0190,The Soul of an Octopus: A Surprising Exploration into the Wonder of Consciousness,Sy Montgomery,261,2015,other,,active,
b0191,"The Mercy of Gods (The Captive's War, #1)",James S.A. Corey,432,2024,other,,active,
b0192,The Girl in the Fog,Donato Carrisi,352,2017,other,,active,
b0193,The Vanished Ones,Donato Carrisi,465,2014,other,,active,
b0194,"Bunny (Bunny, #1)",Mona Awad,305,2020,other,,active,
b0195,Unmasked: My Life Solving America's Cold Cases,Paul Holes,288,2022,crime_mystery,,active,
b0196,Rubicon,J.S. Dewes,469,2023,other,,active,
b0197,"The Space Between Worlds (The Space Between Worlds, #1)",Micaiah Johnson,336,2020,sci_fi,,active,
b0198,The Circus Train,Amita Parikh,352,2022,sci_fi,,active,
b0199,Don't Call It a Cult: The Shocking Story of Keith Raniere and the Women of NXIVM,Sarah  Berman,320,2021,other,,active,
b0200,Playground,Richard Powers,381,2024,other,,active,
b0201,"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,509,2009,other,,active,
b0202,The River We Remember,William Kent Krueger,432,2023,other,,active,
b0203,Home Is Where the Bodies Are,Jeneva Rose,256,2024,other,,active,
b0204,河神,天下霸唱,272,2013,other,,active,
b0205,"The Winter Queen (Erast Fandorin Mysteries, #1)",Boris Akunin,256,2004,other,,active,
b0206,Minor Feelings: An Asian American Reckoning,Cathy Park Hong,209,2020,other,,active,
b0207,The Friction Project: How Smart Leaders Make the Right Things Easier and the Wrong Things Harder,Robert I. Sutton,293,2024,other,,active,
b0208,Beautiful Country,Qian Julie Wang,320,2021,other,,active,
b0209,"Nothing Ventured (William Warwick, #1)",Jeffrey Archer,326,2019,other,,active,
b0210,Damascus Station,David McCloskey,432,2021,other,,active,
b0211,"The Whispering Dead (Gravekeeper, #1)",Darcy Coates,272,2021,other,,active,
b0212,The End of Drum-Time,Hanna Pylväinen,368,2023,sci_fi,,active,
b0213,The Promise,Damon Galgut,293,2021,other,,active,
b0214,Phantom Orbit,David Ignatius,384,2024,other,,active,
b0215,American Rapture,C.J. Leede,370,2024,other,,active,
b0216,The Anatomy of Violence: The Biological Roots of Crime,Adrian Raine,501,2013,crime_mystery,,active,
b0217,The Complete Tales and Poems,Edgar Allan Poe,1040,1960,other,,active,
b0218,Scarcity Brain: Fix Your Craving Mindset and Rewire Your Habits to Thrive with Enough,Michael Easter,304,2023,sci_fi,,active,
b0219,The Only Good Indians,Stephen Graham Jones,305,2020,other,,active,
b0220,Dead Silence,S.A. Barnes,343,2022,other,,active,
b0221,Scattered Minds: The Origins and Healing of Attention Deficit Disorder,Gabor Maté,368,2019,other,,active,
b0222,Written in Bone: Hidden Stories in What We Leave Behind,Sue Black,368,2020,other,,active,
b0223,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,274,2019,other,,active,
b0224,Extremely Loud & Incredibly Close,Jonathan Safran Foer,326,2006,other,,active,
b0225,Her Body and Other Parties: Stories,Carmen Maria Machado,248,2017,other,,active,
b0226,The Anthropologists,Aysegül Savas,183,2024,other,,active,
b0227,"What Moves the Dead (Sworn Soldier, #1)",T. Kingfisher,165,2022,other,,active,
b0228,Say the Thing: Boundary-Setting Scripts & Phrases to Communicate Directly & Speak Up with Kindness,Kami Orange,283,2024,other,,active,
b0229,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,240,2002,other,,active,
b0230,Take Your Own Advice: Learn to Trust Your Inner Voice and Start Helping Yourself,Jeffrey  Marsh,256,2023,sci_fi,,active,
b0231,Service Model,Adrian Tchaikovsky,384,2024,sci_fi,,active,
b0232,Is This Normal?: Judgment-Free Straight Talk About Your Body,Jolene Brighten,480,2023,sci_fi,,active,
